fecha,vertical,dominio,estado,bytes,formularios,campos_email,gtm,ga4,meta_pixel,linkedin_pixel,google_ads,hubspot,chat,whatsapp,mailto_generico,titulo
2026-08-27,inmobiliarias,globalpiso.es,OK,47295,2,0,1,1,1,0,0,0,,1,0,Inmobiliaria Madrid | Venta y alquiler de pisos y casas | Globalpiso
2026-08-27,inmobiliarias,marbella-elite-realestate.com,OK,203728,2,8,1,1,0,1,0,1,,1,0,Home - MARBELLA ELITE REALESTATE
2026-08-27,inmobiliarias,realblor.com,OK,232394,2,1,1,0,0,0,0,0,,1,1,Inmobiliaria en Madrid - REAL BLOR
2026-08-27,inmobiliarias,cyehomes.es,OK,191689,1,0,0,0,0,0,0,0,,0,0,Gestión integral de inmuebles en cye homes | CYE Homes
2026-08-27,inmobiliarias,mikeli.es,BLOQUEADA_O_CAIDA,169,,,,,,,,,,,,
2026-08-27,inmobiliarias,grupoilusiona.com,OK,138637,1,1,0,0,0,0,0,0,,0,1,Ilusiona Inmobiliaria - Ilusiona
2026-08-27,inmobiliarias,rgmfincas.com,OK,239076,5,0,0,0,1,0,0,0,,1,1,"RGMFincas | Inmobiliaria en Sevilla: venta, alquiler y he..."
2026-08-27,inmobiliarias,immobiliariatarragona.cat,OK,107044,1,0,1,1,0,0,0,0,,1,0,Marc Cornago Experts Immobiliaris | Inmobiliaria en Tarragona
2026-08-27,inmobiliarias,keyrealestates.com,OK,89714,1,0,1,1,1,0,0,0,,1,1,Marbella Real Estate | Properties for sale and rent
2026-08-27,inmobiliarias,reactivainmobiliaria.es,OK,212211,0,2,0,0,0,0,0,0,,0,1,Reactiva Inmobiliaria - Gestión de activos inmobiliarios
2026-08-27,inmobiliarias,aticosinmobiliaria.net,BLOQUEADA_O_CAIDA,2352,,,,,,,,,,,,
2026-08-27,inmobiliarias,urbisfactory.es,OK,259863,5,0,1,0,1,0,0,0,,1,0,Inmobiliaria en Salamanca – Urbis Gestión Inmobiliaria
2026-08-27,inmobiliarias,urbeko.es,OK,56904,1,1,1,1,0,0,0,0,,0,1,Inmobiliaria Urbeko en A Coruña. Somos una inmobiliaria especializada en venta y
2026-08-27,inmobiliarias,marmenorgolfresort.com,OK,231965,2,0,1,0,0,0,0,0,,0,0,Mar Menor Golf Resort Property - Andrew Brown Real Estate
2026-08-27,inmobiliarias,aincat.es,BLOQUEADA_O_CAIDA,0,,,,,,,,,,,,
2026-08-27,inmobiliarias,alvaria.es,OK,139473,2,0,0,0,1,0,0,0,,0,0,Agencia Inmobiliaria Alvaria - Elige el mejor programa para venta o alquiler.
2026-08-27,inmobiliarias,trgrupo.com,OK,254609,2,5,1,0,0,0,0,0,,0,1,TR Grupo | Más de 50 años cerca de ti y de tu proyecto inmobiliario
2026-08-27,inmobiliarias,nerjasolproperty.com,OK,254246,1,0,0,0,0,0,0,0,,1,1,Properties in Nerja - UNISOL INMOBILIARIA
2026-08-27,solar,sumsol.com,OK,301108,2,0,1,0,0,0,0,0,,1,1,"Material Fotovoltaico, Renovables Térmicas y Cargador VE - SumSol"
2026-08-27,solar,solarsg.es,BLOQUEADA_O_CAIDA,169,,,,,,,,,,,,
2026-08-27,solar,solartree.es,OK,214864,0,0,0,0,0,0,0,0,,0,0,Solartree &#8211; Ingeniería y construcción para proyectos solares
2026-08-27,solar,protenergia.com,OK,290903,3,2,1,1,0,0,0,0,,0,1,PROT Energía | Tu compañía eléctrica de energía verde
2026-08-27,solar,adelfas.es,OK,163041,0,0,1,1,1,0,0,0,,1,0,"Adelfas Energía | Luz, Gas, Renovables, Gasóleo y Gasolineras"
2026-08-27,solar,deltarenovables.es,OK,76630,0,0,0,0,0,0,0,0,,0,0,Delta Energías Renovables
2026-08-27,solar,ambaria.eu,BLOQUEADA_O_CAIDA,0,,,,,,,,,,,,
2026-08-27,solar,electrofluxe.com,OK,282381,4,4,1,0,1,0,0,0,,1,0,¡Pásate a las energías renovables con las placas solares de Electrofluxe!
2026-08-27,solar,solgaleo.es,OK,141514,1,0,0,0,0,0,0,0,,0,0,Solgaleo - Energías renovables en Ourense
2026-08-27,solar,emopa.com,OK,469949,0,0,1,0,0,0,0,0,,0,0,Servicio técnico en Madrid | Grupo EMOPA
2026-08-27,solar,iluminaenergia.es,BLOQUEADA_O_CAIDA,0,,,,,,,,,,,,
2026-08-27,solar,globaenergy.com,OK,280695,0,4,1,0,1,0,1,0,,0,0,Globa - Primer Distribuidor Plenitude en España y Portugal
2026-08-27,solar,enovaenerxia.com,OK,571319,4,6,0,0,0,0,0,0,,0,1,E.NOVA | Especialistas en instalacións fotovoltaicas para empresas e comercializ
2026-08-27,solar,envoltermia.com,OK,450920,2,28,1,0,0,0,0,0,,0,0,Envoltermia &#8211; Envoltermia se constituye como una empresa de consultoría en
2026-08-27,solar,magmamantenimiento.es,OK,103980,0,0,0,0,0,0,0,0,,0,0,"MAGMA - Ingeniería, instalaciones integrales y energías renovables"
2026-08-27,solar,grupocecsa.es,OK,1390804,3,8,0,0,0,0,0,0,,0,0,Grupo Cecsa &#8211; Grupo Cecsa
2026-08-27,solar,watios2.com,OK,739732,0,0,0,0,0,0,0,0,,0,0,Watios2
2026-08-27,solar,sosenergia.es,OK,218952,19,3,1,1,1,0,1,0,,0,1,SOSenergía - Energías renovables y eficiencia energética
2026-08-27,inmobiliarias,volgarealestate.es,OK,70280,0,0,0,0,0,0,0,0,,0,0,admin
2026-08-27,inmobiliarias,realestatevalue.es,OK,65886,0,0,0,0,0,0,0,0,,0,0,Inicio - Real Estate Value
2026-08-27,inmobiliarias,solidgroundrealestate.eu,OK,53844,2,1,1,1,0,0,0,0,,1,0,Real Estate Built on Trust
2026-08-27,inmobiliarias,bymuura.com,OK,218173,6,4,0,0,0,0,0,0,,1,0,Ibiza Real Estate &amp; Luxury Properties | MUURA
2026-08-27,inmobiliarias,amansur.es,OK,394752,4,1,1,1,0,0,0,0,,0,0,Home | Amansur | Tu Valor Inmobiliario
2026-08-27,inmobiliarias,trinosa.com,OK,314643,0,0,1,0,0,0,0,0,,0,1,Home - Trinosa
2026-08-27,inmobiliarias,projecthouseagents.com,OK,643123,0,0,0,0,0,0,0,0,,1,0,Inicio | Project House
2026-08-27,inmobiliarias,marinavista.es,OK,236332,1,1,0,0,0,0,0,0,,0,1,Marina Vista | Promociones de obra nueva
2026-08-27,inmobiliarias,dato40.com,OK,44266,4,0,0,0,0,0,0,0,,0,0,Inmobiliaria Dato40
2026-08-27,inmobiliarias,casadelsolrealestate.com,OK,527987,1,1,0,0,0,0,0,0,,0,0,"Casa del Sol Real Estate, betrouwbare hulp bij het zoeken, vinden en kopen van u"
2026-08-27,inmobiliarias,finest-selection.com,OK,26509,1,0,0,0,0,0,0,0,,0,0,Experten für Luxus-Immobilien auf Mallorca - Luxusimmobilien Mallorca &amp; Ibiz
2026-08-27,inmobiliarias,blancareal.com,BLOQUEADA_O_CAIDA,0,,,,,,,,,,,,
2026-08-27,inmobiliarias,realestatecjp.com,OK,30854,1,0,1,1,0,0,0,0,,0,1,CJP | Real Estate — Costa Blanca
2026-08-27,inmobiliarias,gold-bricks.com,OK,94585,2,0,1,1,1,0,0,0,,1,0,Estate Agents in Alicante | Alicante Real Estate Sales
2026-08-27,inmobiliarias,m2bcnconsultoras.com,OK,168586,0,2,0,0,0,0,0,0,,0,0,▷ M2 BCN Real Estate - Agencia inmobiliaria Molins de Rei
2026-08-27,inmobiliarias,begararealestate.com,BLOQUEADA_O_CAIDA,0,,,,,,,,,,,,
2026-08-27,inmobiliarias,gramar.es,OK,1034583,1,1,1,0,0,0,0,0,,0,0,"Gramar | Un servicio global inmobiliario - Especialistas en consultoría, inversi"
2026-08-27,inmobiliarias,1firststay.com,OK,118339,0,0,0,0,0,0,0,0,,1,0,First Stay | Propiedades Exclusivas en Tenerife – Inmobiliaria de Confianza
2026-08-27,inmobiliarias,venportucasa.com,OK,5480,0,0,0,0,0,0,0,0,,0,0,Attention Required! | Cloudflare
2026-08-27,inmobiliarias,vassolutions.es,OK,339638,2,4,1,1,0,0,0,0,,1,0,​🏘️​ Inmobiliaria La Llagosta Vass Solutions -Vendemos en 60 días
2026-08-27,inmobiliarias,campomarspain.com,OK,29126,2,0,1,1,0,0,0,0,,0,1,Estepona Property - Campomar Real Estate Agent in Estepona
2026-08-27,inmobiliarias,novahouse.es,OK,5480,0,0,0,0,0,0,0,0,,0,0,Attention Required! | Cloudflare
2026-08-27,inmobiliarias,lippyinmobiliaria.com,OK,116975,1,0,0,0,0,0,0,0,,1,0,Lippy Inmobiliaria
2026-08-27,inmobiliarias,atraeinmobiliaria.com,OK,328613,0,0,0,0,1,0,0,0,,0,1,ATRAE INMOBILIARIA
2026-08-27,inmobiliarias,mobila.es,OK,202526,1,0,0,0,0,0,0,0,,1,0,Inmobiliaria boutique en Sant Cugat del Vallès
2026-08-27,inmobiliarias,promayor.com,OK,354328,0,0,0,0,0,0,0,0,,0,0,Promayor Real Estate - High Quality Residential Spaces
2026-08-27,inmobiliarias,exelent.com,OK,113980,1,0,0,0,0,0,0,0,,0,0,Exelent - Locales comerciales
2026-08-27,inmobiliarias,onys.es,OK,172025,0,0,0,0,0,0,0,0,,0,0,Onys
2026-08-27,solar,ruanoenergia.com,OK,224793,0,0,1,0,0,0,0,0,,1,1,Home - Ruano Energía
2026-08-27,solar,colway-08.com,BLOQUEADA_O_CAIDA,114,,,,,,,,,,,,
2026-08-27,solar,indutecsa.es,OK,263823,0,0,1,1,0,0,0,0,,0,1,Inicio - Indutec
2026-08-27,solar,inselectelecom.com,BLOQUEADA_O_CAIDA,0,,,,,,,,,,,,
2026-08-27,solar,ecofreenergy.com,BLOQUEADA_O_CAIDA,0,,,,,,,,,,,,
2026-08-27,solar,onexus.es,OK,216947,1,3,1,0,0,0,0,0,,0,1,Instalación de placas solares y aerotermia al mejor precio.
2026-08-27,solar,solucionesenergeticasdigitales.com,OK,172681,3,1,0,0,0,0,0,0,,0,0,Soluciones Energéticas Digitales &#8211; Soluciones Energéticas Digitales
2026-08-27,solar,alborenergia.es,OK,360150,2,3,1,1,0,0,0,0,,0,0,➡️ Asesoría Energética: Ahorra y optimiza tus consumos con Albor
2026-08-27,solar,paller.es,OK,118629,0,0,1,0,0,0,0,0,,0,1,Empresa de instalaciones de climatización en Madrid | Paller
2026-08-27,solar,i-mbt.es,OK,75860,0,1,1,0,0,0,0,0,,0,1,Empresa líder en servicios de ingeniería. - i-mbt
2026-08-27,solar,4tenergy.com,OK,215094,0,2,1,1,0,0,0,0,,0,0,4Tenergy - Energía Solar
2026-08-27,solar,astraliasolar.com,OK,129687,0,0,0,0,0,0,0,0,,0,0,Energía solar y autoconsumo - Astralia Solar
2026-08-27,solar,electricatortella.com,OK,12463,1,1,0,0,0,0,0,0,,0,0,Eléctrica Tortella
2026-08-27,solar,pimer.net,OK,106406,2,1,0,0,0,0,0,0,,0,0,Proyectos y montajes eléctricos
2026-08-27,solar,jimsolenergia.com,OK,218137,0,0,1,0,0,0,0,0,,0,0,Jimsol Energía &#8211; Pide tu presupuesto personalizado y comienza a ahorrar ya
2026-08-27,solar,nerosolar.com,OK,209364,0,2,1,0,1,0,0,0,,0,0,Inicio - Nerosolar
2026-08-27,solar,centroplan.es,OK,154436,0,0,1,1,0,0,0,0,,0,0,"Centroplan GmbH: Planificación, implementación y operación de sistemas solares"
2026-08-27,solar,oppidumenergia.com,OK,191381,1,0,1,1,1,0,0,0,,0,0,Comercializadora Eléctrica en Castellón - Oppidum Energia
2026-08-27,solar,sinergiamsf.com,BLOQUEADA_O_CAIDA,0,,,,,,,,,,,,
2026-08-27,solar,gaiafutura.es,OK,14444,2,1,0,0,0,0,0,0,,0,0,GAIA FUTURA | El Latido de la Logística Sostenible
2026-08-27,solar,enaltiasolar.es,OK,161223,1,2,1,1,0,0,0,0,,0,0,Ingeniería y construcción de energías renovables - Enaltia Solar
2026-08-27,solar,energia-aljaval.com,BLOQUEADA_O_CAIDA,169,,,,,,,,,,,,
2026-08-27,academias,multidiomas.com,OK,92718,1,0,0,0,0,0,0,0,,0,0,Multidiomas Language School
2026-08-27,academias,learningidiomas.com,BLOQUEADA_O_CAIDA,169,,,,,,,,,,,,
2026-08-27,academias,epsformacion.com,OK,239194,1,1,1,0,0,0,0,0,,1,1,EPS Formación Centro de Estudios de Mecánica de Motos ✅
2026-08-27,academias,lovivo.net,OK,109084,1,1,1,1,1,0,0,0,,0,0,LOVIVO LANGUAGE SCHOOL - Academia de inglés en Málaga
2026-08-27,academias,cursosformacionseguros.com,OK,314361,4,2,1,0,0,0,0,0,,0,0,Escuela de Seguros Campus Asegurador | Formación en Seguros
